date,month,commodity,market,mandi_avg,observed_price,transport_issue,weather_impact,is_anomaly,commodity_id,market_id
2024-02-10,2,Tomato,Azadpur,41.71,74.65,0,0,1,4,0
2025-07-18,7,Tomato,Azadpur,91.97,126.52,1,0,0,4,0
2025-10-31,10,Sugar,Daryaganj,41.06,44.91,0,0,0,3,1
2021-08-01,8,Sugar,Daryaganj,39.64,49.5,1,0,0,3,1
2023-01-18,1,Sugar,Okhla,41.54,43.25,0,0,0,3,5
2021-07-29,7,Milk,Rohini,71.12,81.62,0,0,0,0,6
2022-03-01,3,Milk,Daryaganj,67.97,141.4,0,1,1,0,1
2023-04-20,4,Onion,Ghazipur,35.84,89.4,0,0,1,1,2
2022-03-10,3,Potato,INA Market,26.13,29.38,0,0,0,2,3
2022-08-05,8,Potato,Rohini,22.87,25.47,0,0,0,2,6
2024-07-08,7,Tomato,Keshopur,100.6,107.23,0,1,0,4,4
2024-01-11,1,Onion,Ghazipur,38.14,39.03,0,0,0,1,2
2024-06-08,6,Tomato,Ghazipur,40.75,44.4,0,0,0,4,2
2025-09-05,9,Onion,Azadpur,37.34,79.24,0,0,1,1,0
2025-08-29,8,Tomato,Keshopur,106.61,179.48,0,0,1,4,4
2025-10-27,10,Onion,INA Market,65.35,72.32,0,0,0,1,3
2021-09-18,9,Potato,Rohini,24.22,25.09,0,0,0,2,6
2022-02-24,2,Potato,INA Market,27.4,30.16,0,0,0,2,3
2024-02-24,2,Potato,Daryaganj,23.58,31.74,1,0,0,2,1
2021-05-31,5,Potato,Ghazipur,27.17,27.8,0,0,0,2,2
2024-02-04,2,Potato,Keshopur,23.04,31.98,0,1,0,2,4
2023-05-13,5,Sugar,INA Market,40.39,43.78,0,0,0,3,3
2025-05-09,5,Potato,INA Market,22.72,23.75,0,0,0,2,3
2023-09-07,9,Tomato,Azadpur,108.15,115.98,0,0,0,4,0
2025-12-01,12,Tomato,Ghazipur,40.76,46.43,0,0,0,4,2
2022-08-20,8,Onion,Keshopur,35.91,39.07,1,0,0,1,4
2024-04-19,4,Potato,Azadpur,25.9,27.31,0,0,0,2,0
2022-11-08,11,Onion,Rohini,64.34,73.78,1,0,0,1,6
2021-04-27,4,Potato,Rohini,26.99,30.51,0,0,0,2,6
2023-12-07,12,Onion,Daryaganj,32.76,44.53,0,1,0,1,1
2021-12-17,12,Sugar,Rohini,42.04,42.23,0,0,0,3,6
2024-05-29,5,Onion,Ghazipur,37.35,38.96,0,0,0,1,2
2021-11-17,11,Sugar,Okhla,46.66,47.17,0,0,0,3,5
2025-08-18,8,Milk,Keshopur,63.48,87.12,1,0,0,0,4
2024-09-16,9,Onion,Okhla,35.16,36.12,0,0,0,1,5
2021-09-02,9,Onion,Keshopur,35.21,39.94,0,0,0,1,4
2025-02-27,2,Milk,Ghazipur,71.35,74.43,0,0,0,0,2
2021-08-27,8,Onion,Ghazipur,35.79,40.83,0,0,0,1,2
2023-12-15,12,Onion,INA Market,33.51,33.88,0,0,0,1,3
2022-01-26,1,Onion,Ghazipur,33.58,72.03,0,0,1,1,2
2025-05-11,5,Sugar,Ghazipur,47.93,50.99,0,0,0,3,2
2022-03-31,3,Milk,Azadpur,68.24,74.8,0,0,0,0,0
2022-12-14,12,Sugar,Azadpur,43.07,44.56,0,0,0,3,0
2024-03-05,3,Sugar,Rohini,44.78,46.38,0,0,0,3,6
2023-08-27,8,Potato,Keshopur,24.68,32.34,0,1,0,2,4
2023-06-25,6,Sugar,Keshopur,41.33,47.4,0,0,0,3,4
2025-08-24,8,Sugar,Keshopur,48.33,140.16,0,0,1,3,4
2022-12-26,12,Tomato,INA Market,36.07,38.73,0,0,0,4,3
2023-05-08,5,Potato,INA Market,27.4,36.96,1,0,0,2,3
2025-08-11,8,Sugar,Azadpur,46.61,56.29,1,0,0,3,0
2021-11-01,11,Tomato,Ghazipur,40.84,41.44,0,0,0,4,2
2022-06-25,6,Onion,Daryaganj,35.28,37.06,0,0,0,1,1
2022-11-27,11,Potato,INA Market,25.36,27.61,0,0,0,2,3
2021-12-03,12,Milk,Keshopur,61.67,65.99,0,0,0,0,4
2025-02-21,2,Sugar,Daryaganj,41.24,46.49,0,0,0,3,1
2025-01-17,1,Potato,Azadpur,27.11,30.5,0,1,0,2,0
2023-10-11,10,Tomato,INA Market,37.7,42.8,0,0,0,4,3
2025-05-29,5,Milk,Okhla,65.44,72.89,0,0,0,0,5
2022-06-28,6,Sugar,Daryaganj,40.71,42.98,0,0,0,3,1
2022-12-07,12,Onion,Okhla,37.77,40.32,0,0,0,1,5
2023-01-27,1,Tomato,Ghazipur,42.65,79.17,0,0,1,4,2
2022-08-18,8,Milk,Daryaganj,65.33,75.58,1,0,0,0,1
2023-07-01,7,Sugar,Ghazipur,40.02,44.26,0,0,0,3,2
2023-11-24,11,Onion,Daryaganj,68.34,69.48,0,0,0,1,1
2023-12-16,12,Tomato,INA Market,42.08,47.15,0,0,0,4,3
2025-11-18,11,Tomato,Ghazipur,38.86,40.8,0,0,0,4,2
2023-09-01,9,Onion,Azadpur,38.41,42.29,0,0,0,1,0
2021-11-30,11,Tomato,Daryaganj,37.53,43.3,0,1,0,4,1
2021-06-04,6,Tomato,Rohini,40.6,43.11,0,0,0,4,6
2021-03-14,3,Milk,Ghazipur,63.74,73.15,0,0,0,0,2
2023-01-27,1,Tomato,Keshopur,37.71,38.11,0,0,0,4,4
2023-05-04,5,Tomato,Okhla,40.22,41.33,0,0,0,4,5
2024-10-13,10,Onion,Rohini,75.17,82.83,0,0,0,1,6
2023-02-05,2,Milk,Ghazipur,68.69,186.85,0,0,1,0,2
2022-05-21,5,Sugar,Rohini,43.11,46.54,0,0,0,3,6
2023-11-01,11,Sugar,INA Market,48.08,54.55,0,0,0,3,3
2023-01-03,1,Tomato,Azadpur,36.99,37.91,0,0,0,4,0
2022-01-27,1,Potato,Azadpur,27.23,27.54,0,0,0,2,0
2023-10-22,10,Sugar,Okhla,42.93,50.14,1,0,0,3,5
2024-05-21,5,Potato,Azadpur,23.14,24.97,0,0,0,2,0
2023-02-14,2,Onion,Ghazipur,32.47,33.07,0,1,0,1,2
2024-06-22,6,Sugar,Daryaganj,40.47,45.91,0,0,0,3,1
2023-12-15,12,Milk,Ghazipur,72.13,80.65,0,0,0,0,2
2023-12-14,12,Onion,INA Market,33.91,38.2,0,0,0,1,3
2023-08-02,8,Milk,Ghazipur,66.21,74.07,0,0,0,0,2
2022-03-26,3,Potato,Daryaganj,22.94,23.55,0,0,0,2,1
2021-08-11,8,Tomato,Ghazipur,95.09,123.46,0,1,0,4,2
2022-10-22,10,Milk,Azadpur,65.18,67.34,0,0,0,0,0
2025-12-11,12,Tomato,Keshopur,40.19,42.15,0,0,0,4,4
2022-01-25,1,Onion,Ghazipur,33.7,38.67,0,0,0,1,2
2023-05-10,5,Sugar,Daryaganj,42.66,56.13,1,0,0,3,1
2025-07-26,7,Sugar,Daryaganj,44.32,48.3,0,1,0,3,1
2022-10-17,10,Milk,Azadpur,65.83,74.41,0,0,0,0,0
2024-03-10,3,Sugar,Rohini,42.84,46.35,0,0,0,3,6
2023-07-13,7,Potato,Okhla,24.3,25.55,0,0,0,2,5
2024-01-13,1,Onion,Okhla,35.4,40.17,0,0,0,1,5
2025-09-14,9,Onion,Daryaganj,32.53,32.87,0,0,0,1,1
2021-01-29,1,Sugar,Ghazipur,40.71,44.7,0,0,0,3,2
2023-03-26,3,Sugar,Azadpur,47.35,49.95,0,0,0,3,0
2025-02-15,2,Sugar,Rohini,42.59,46.09,0,0,0,3,6
2021-11-13,11,Onion,Daryaganj,64.75,72.1,0,0,0,1,1
2021-11-10,11,Milk,Ghazipur,70.65,200.88,0,0,1,0,2
2022-03-17,3,Potato,Daryaganj,24.85,28.39,0,0,0,2,1
2025-11-30,11,Tomato,Daryaganj,41.18,94.13,0,0,1,4,1
2024-04-25,4,Potato,Okhla,23.33,23.41,0,0,0,2,5
2022-02-27,2,Milk,Ghazipur,63.78,64.37,0,0,0,0,2
2023-07-13,7,Milk,Daryaganj,65.39,67.67,0,0,0,0,1
2022-01-18,1,Sugar,Azadpur,47.28,48.85,0,0,0,3,0
2024-03-14,3,Onion,Daryaganj,33.08,34.52,0,0,0,1,1
2023-07-07,7,Milk,Keshopur,69.82,78.47,0,0,0,0,4
2022-07-01,7,Onion,Azadpur,33.86,35.76,0,0,0,1,0
2025-12-29,12,Sugar,Daryaganj,41.87,41.96,0,0,0,3,1
2021-04-20,4,Tomato,INA Market,36.52,68.29,0,0,1,4,3
2024-08-04,8,Milk,Daryaganj,62.45,71.11,0,0,0,0,1
2023-05-03,5,Tomato,Ghazipur,41.18,43.81,0,0,0,4,2
2022-08-29,8,Milk,Daryaganj,72.49,73.58,0,0,0,0,1
2025-09-04,9,Tomato,Ghazipur,105.84,111.19,0,0,0,4,2
